,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
0,DisTest_Seed36003_Strain0p9_VolumeFraction90,ALL,1070.05972801628,wholeMod,0.0,0.009,0.0,974.2909999999999,-1.2130000000000791,0.04411207639019598,0.09356946498155594,2.5212397882003104,1.7241379310344,0
0.1,DisTest_Seed36003_Strain0p9_VolumeFraction90,ALL,2028.220614100473,Martensite,0.0,0.009,0.0,974.2909999999999,-1.2130000000000791,0.022580649331212045,0.08765086531639099,1.8700931486857668,1.72413793,0
0.2,DisTest_Seed36003_Strain0p9_VolumeFraction90,ALL,1070.05972801628,Ferrite,0.0,0.009,0.0,974.2909999999999,-1.2130000000000791,0.04411207639019598,0.09356946498155594,2.5212397882003104,1.7241379310344,0
1,DisTest_Seed93426_Strain0p6_VolumeFraction90,ALL,2855.76326062357,wholeMod,0.0,0.006,0.0,792.2645,-0.28949999999997544,0.024962913680386237,0.04959408566355705,2.5212397882003104,1.7241379310344,0
1.1,DisTest_Seed93426_Strain0p6_VolumeFraction90,ALL,5444.687303678074,Martensite,0.0,0.006,0.0,792.2645,-0.28949999999997544,0.01273499946627352,0.029501991346478462,1.8700931486857668,1.72413793,0
1.2,DisTest_Seed93426_Strain0p6_VolumeFraction90,ALL,2855.76326062357,Ferrite,0.0,0.006,0.0,792.2645,-0.28949999999997544,0.024962913680386237,0.04959408566355705,2.5212397882003104,1.7241379310344,0
2,DisTest_Seed22187_Strain0p6_VolumeFraction90,ALL,3981.120649767673,wholeMod,0.0,0.006,0.0,788.1455000000001,-0.27549999999996544,0.020587852845589318,0.03936435654759407,2.5212397882003104,1.7241379310344,0
2.1,DisTest_Seed22187_Strain0p6_VolumeFraction90,ALL,6899.291313259842,Martensite,0.0,0.006,0.0,788.1455000000001,-0.27549999999996544,0.011100860312581062,0.03420993313193321,1.8700931486857668,1.72413793,0
2.2,DisTest_Seed22187_Strain0p6_VolumeFraction90,ALL,3981.120649767673,Ferrite,0.0,0.006,0.0,788.1455000000001,-0.27549999999996544,0.020587852845589318,0.03936435654759407,2.5212397882003104,1.7241379310344,0
3,DisTest_Seed78333_Strain0p3_VolumeFraction90,ALL,27445.458673345915,wholeMod,0.0,0.003,0.0,537.711,-0.024999999999977263,0.004983682327889907,0.00807522889226675,1.8700931486857668,1.72413793,0
3.1,DisTest_Seed78333_Strain0p3_VolumeFraction90,ALL,27445.458673345915,Martensite,0.0,0.003,0.0,537.711,-0.024999999999977263,0.004983682327889907,0.00807522889226675,1.8700931486857668,1.72413793,0
3.2,DisTest_Seed78333_Strain0p3_VolumeFraction90,ALL,87515.5628275199,Ferrite,0.0,0.003,0.0,537.711,-0.024999999999977263,0.003429293718036948,0.007814740762114525,2.5212397882003104,1.7241379310344,0
4,DisTest_Seed25609_Strain0p6_VolumeFraction90,ALL,4564.049516258346,wholeMod,0.0,0.006,0.0,791.1600000000001,-0.2659999999999627,0.01901914329980226,0.04426298663020134,2.5212397882003104,1.7241379310344,0
4.1,DisTest_Seed25609_Strain0p6_VolumeFraction90,ALL,4564.049516258346,Ferrite,0.0,0.006,0.0,791.1600000000001,-0.2659999999999627,0.01901914329980226,0.04426298663020134,2.5212397882003104,1.7241379310344,0
4.2,DisTest_Seed25609_Strain0p6_VolumeFraction90,ALL,5960.368944329535,Martensite,0.0,0.006,0.0,791.1600000000001,-0.2659999999999627,0.012083835785456916,0.02910109981894493,1.8700931486857668,1.72413793,0
5,DisTest_Seed93426_Strain0p9_VolumeFraction95,ALL,895.0368244512626,wholeMod,0.0,0.009,0.0,987.54,-1.2490000000000236,0.04892675671726465,0.10742169618606567,2.5212397882003104,1.7241379310344,0
5.1,DisTest_Seed93426_Strain0p9_VolumeFraction95,ALL,1605.1003197032426,Martensite,0.0,0.009,0.0,987.54,-1.2490000000000236,0.02586258749303582,0.08103209733963013,1.8700931486857668,1.72413793,0
5.2,DisTest_Seed93426_Strain0p9_VolumeFraction95,ALL,895.0368244512626,Ferrite,0.0,0.009,0.0,987.54,-1.2490000000000236,0.04892675671726465,0.10742169618606567,2.5212397882003104,1.7241379310344,0
6,DisTest_Seed45213_Strain0p9_VolumeFraction95,ALL,723.3673061784642,wholeMod,0.0,0.009,0.0,982.0385,-1.2794999999999845,0.0410615264353427,0.10270959883928299,1.8700931486857668,1.72413793,0
6.1,DisTest_Seed45213_Strain0p9_VolumeFraction95,ALL,723.3673061784642,Martensite,0.0,0.009,0.0,982.0385,-1.2794999999999845,0.0410615264353427,0.08294609934091568,1.8700931486857668,1.72413793,0
6.2,DisTest_Seed45213_Strain0p9_VolumeFraction95,ALL,1446.6663889441704,Ferrite,0.0,0.009,0.0,982.0385,-1.2794999999999845,0.03703398831243063,0.10270959883928299,2.5212397882003104,1.7241379310344,0
8,DisTest_Seed54667_Strain0p6_VolumeFraction95,ALL,4842.870789718406,wholeMod,0.0,0.006,0.0,793.8725,-0.24850000000003547,0.018376148028070464,0.042119331657886505,2.5212397882003104,1.7241379310344,0
8.1,DisTest_Seed54667_Strain0p6_VolumeFraction95,ALL,5667.44252574096,Martensite,0.0,0.006,0.0,793.8725,-0.24850000000003547,0.012442243762095184,0.034515757113695145,1.8700931486857668,1.72413793,0
8.2,DisTest_Seed54667_Strain0p6_VolumeFraction95,ALL,4842.870789718406,Ferrite,0.0,0.006,0.0,793.8725,-0.24850000000003547,0.018376148028070464,0.042119331657886505,2.5212397882003104,1.7241379310344,0
10,DisTest_Seed45213_Strain0p9_VolumeFraction90,ALL,775.2353901019571,wholeMod,0.0,0.009,0.0,969.976,-1.2000000000000455,0.039444981408970695,0.10256091505289078,1.8700931486857668,1.72413793,0
10.1,DisTest_Seed45213_Strain0p9_VolumeFraction90,ALL,775.2353901019571,Martensite,0.0,0.009,0.0,969.976,-1.2000000000000455,0.039444981408970695,0.10256091505289078,1.8700931486857668,1.72413793,0
10.2,DisTest_Seed45213_Strain0p9_VolumeFraction90,ALL,1420.0040993518026,Ferrite,0.0,0.009,0.0,969.976,-1.2000000000000455,0.03743571956597623,0.09442019462585449,2.5212397882003104,1.7241379310344,0
13,DisTest_Seed61442_Strain0p3_VolumeFraction90,ALL,70487.60581615774,wholeMod,0.0,0.003,0.0,538.1935,-0.024499999999989086,0.003887843294069171,0.01088691782206297,2.5212397882003104,1.7241379310344,0
13.1,DisTest_Seed61442_Strain0p3_VolumeFraction90,ALL,70487.60581615774,Ferrite,0.0,0.003,0.0,538.1935,-0.024499999999989086,0.003887843294069171,0.01088691782206297,2.5212397882003104,1.7241379310344,0
13.2,DisTest_Seed61442_Strain0p3_VolumeFraction90,ALL,100306.35058012893,Martensite,0.0,0.003,0.0,538.1935,-0.024499999999989086,0.0023501346627408277,0.009928758256137371,1.8700931486857668,1.72413793,0
14,DisTest_Seed81296_Strain0p6_VolumeFraction85,ALL,3940.6934397979508,wholeMod,0.0,0.006,0.0,785.691,-0.29899999999997817,0.020710091357033292,0.04965389892458916,2.5212397882003104,1.7241379310344,0
14.1,DisTest_Seed81296_Strain0p6_VolumeFraction85,ALL,4339.487636989787,Martensite,0.0,0.006,0.0,785.691,-0.29899999999997817,0.014526096793512503,0.0317809134721756,1.8700931486857668,1.72413793,0
14.2,DisTest_Seed81296_Strain0p6_VolumeFraction85,ALL,3940.6934397979508,Ferrite,0.0,0.006,0.0,785.691,-0.29899999999997817,0.020710091357033292,0.04965389892458916,2.5212397882003104,1.7241379310344,0
16,DisTest_Seed71034_Strain0p3_VolumeFraction85,ALL,35828.743743568055,wholeMod,0.0,0.003,0.0,536.3925,-0.03350000000000364,0.004269813643970891,0.014024373143911362,1.8700931486857668,1.72413793,0
16.1,DisTest_Seed71034_Strain0p3_VolumeFraction85,ALL,35828.743743568055,Martensite,0.0,0.003,0.0,536.3925,-0.03350000000000364,0.004269813643970891,0.014024373143911362,1.8700931486857668,1.72413793,0
16.2,DisTest_Seed71034_Strain0p3_VolumeFraction85,ALL,126683.58534192233,Ferrite,0.0,0.003,0.0,536.3925,-0.03350000000000364,0.002767173254633332,0.012933025136590004,2.5212397882003104,1.7241379310344,0
17,DisTest_Seed61442_Strain0p6_VolumeFraction85,ALL,5602.328742146697,wholeMod,0.0,0.006,0.0,786.9855,-0.30949999999995725,0.01688730589899838,0.050214312970638275,2.5212397882003104,1.7241379310344,0
17.1,DisTest_Seed61442_Strain0p6_VolumeFraction85,ALL,5602.328742146697,Ferrite,0.0,0.006,0.0,786.9855,-0.30949999999995725,0.01688730589899838,0.050214312970638275,2.5212397882003104,1.7241379310344,0
